行政區別,村里別,璩美鳳,蘇煥智,蘇盈貴,陳其邁,陳永和,韓國瑜,有效票數A,無效票數B,投票數C,已領未投票數D,發出票數E,用餘票數F,選舉人數G,投票率H
總計,,103036,0,7734,814468,1104660,36400,2066298,34756,2101054,0,2101054,1364128,3465182,60.63
桃園區,,29504,0,848,147598,202482,8168,388600,5284,393884,0,393884,296316,690200,57.07
,文化里,54,0,0,294,414,22,784,6,790,0,790,538,1328,59.49
,文明里,120,0,4,596,860,44,1624,18,1642,0,1642,986,2628,62.48
,武陵里,118,0,0,512,934,28,1592,34,1626,0,1626,1440,3066,53.03
,大林里,392,0,14,2478,4030,144,7058,88,7146,0,7146,5588,12734,56.12
,忠義里,214,0,4,1462,1664,74,3418,60,3478,0,3478,3186,6664,52.19
,會稽里,618,0,24,3892,4408,182,9124,106,9230,0,9230,8124,17354,53.19
,長美里,82,0,6,342,926,20,1376,16,1392,0,1392,590,1982,70.23
,民生里,108,0,2,542,878,18,1548,24,1572,0,1572,1260,2832,55.51
,永興里,164,0,4,522,1210,24,1924,42,1966,0,1966,1288,3254,60.42
,汴洲里,574,0,26,1770,3284,86,5740,96,5836,0,5836,3840,9676,60.31
,永安里,488,0,22,1476,3192,80,5258,74,5332,0,5332,3372,8704,61.26
,東埔里,394,0,8,1498,2854,110,4864,66,4930,0,4930,4048,8978,54.91
,東門里,244,0,2,1274,1826,106,3452,52,3504,0,3504,2194,5698,61.5
,東山里,174,0,4,696,1092,38,2004,46,2050,0,2050,1670,3720,55.11
,萬壽里,92,0,6,368,686,30,1182,16,1198,0,1198,704,1902,62.99
,長安里,380,0,10,1236,2298,64,3988,74,4062,0,4062,2830,6892,58.94
,中埔里,348,0,6,724,1878,56,3012,30,3042,0,3042,1234,4276,71.14
,西埔里,314,0,8,922,2268,48,3560,46,3606,0,3606,2274,5880,61.33
,西門里,162,0,16,570,932,20,1700,20,1720,0,1720,1354,3074,55.95
,中和里,182,0,4,470,1020,36,1712,36,1748,0,1748,926,2674,65.37
,文昌里,82,0,6,320,742,12,1162,14,1176,0,1176,492,1668,70.5
,新埔里,912,0,12,4070,4868,200,10062,142,10204,0,10204,7376,17580,58.04
,中山里,506,0,20,2894,3848,188,7456,80,7536,0,7536,5090,12626,59.69
,慈文里,540,0,14,2302,3494,146,6496,82,6578,0,6578,5094,11672,56.36
,西湖里,116,0,4,656,874,40,1690,16,1706,0,1706,1088,2794,61.06
,南門里,444,0,10,2306,3414,118,6292,116,6408,0,6408,4852,11260,56.91
,南華里,112,0,4,530,1102,34,1782,16,1798,0,1798,882,2680,67.09
,玉山里,418,0,18,1880,3190,112,5618,96,5714,0,5714,3844,9558,59.78
,中成里,376,0,10,1934,2872,104,5296,74,5370,0,5370,3176,8546,62.84
,中正里,426,0,4,2402,2892,108,5832,86,5918,0,5918,4012,9930,59.6
,北門里,178,0,2,656,1250,26,2112,32,2144,0,2144,1164,3308,64.81
,雲林里,470,0,8,2706,3548,156,6888,94,6982,0,6982,4526,11508,60.67
,福林里,394,0,12,2558,3500,116,6580,64,6644,0,6644,4536,11180,59.43
,光興里,398,0,16,1872,2964,148,5398,76,5474,0,5474,3694,9168,59.71
,龍山里,326,0,4,1596,1870,52,3848,76,3924,0,3924,2926,6850,57.28
,龍岡里,446,0,16,2654,2596,128,5840,86,5926,0,5926,4998,10924,54.25
,成功里,318,0,6,1698,2036,104,4162,50,4212,0,4212,3266,7478,56.33
,青溪里,348,0,20,1548,2858,144,4918,84,5002,0,5002,3252,8254,60.6
,朝陽里,186,0,4,734,1318,48,2290,48,2338,0,2338,1500,3838,60.92
,中興里,430,0,18,1954,3408,84,5894,74,5968,0,5968,4238,10206,58.48
,豐林里,526,0,14,2662,3918,144,7264,90,7354,0,7354,4674,12028,61.14
,建國里,434,0,10,2030,2848,146,5468,96,5564,0,5564,4446,10010,55.58
,大豐里,320,0,6,1934,2966,132,5358,48,5406,0,5406,4302,9708,55.69
,福安里,278,0,8,1840,2580,106,4812,42,4854,0,4854,3194,8048,60.31
,三民里,390,0,14,2248,2196,120,4968,58,5026,0,5026,3048,8074,62.25
,大興里,362,0,16,1904,3126,88,5496,62,5558,0,5558,4826,10384,53.52
,春日里,538,0,16,2278,3672,156,6660,88,6748,0,6748,5020,11768,57.34
,信光里,612,0,14,2400,4082,134,7242,114,7356,0,7356,5916,13272,55.42
,中寧里,488,0,24,2390,2980,172,6054,46,6100,0,6100,5162,11262,54.16
,同安里,968,0,16,3228,4390,204,8806,88,8894,0,8894,7088,15982,55.65
,莊敬里,646,0,20,3880,4044,190,8780,102,8882,0,8882,7132,16014,55.46
,文中里,218,0,20,1276,1772,88,3374,74,3448,0,3448,1522,4970,69.38
,泰山里,300,0,18,1586,2216,66,4186,62,4248,0,4248,2930,7178,59.18
,中路里,284,0,18,1622,2112,98,4134,78,4212,0,4212,3330,7542,55.85
,中德里,408,0,30,2654,3996,120,7208,78,7286,0,7286,5222,12508,58.25
,龍祥里,328,0,12,2316,2362,86,5104,56,5160,0,5160,4078,9238,55.86
,大有里,366,0,6,2576,2698,162,5808,92,5900,0,5900,5302,11202,52.67
,寶山里,496,0,2,3306,3786,176,7766,118,7884,0,7884,7742,15626,50.45
,龍鳳里,544,0,6,3230,3508,162,7450,86,7536,0,7536,10290,17826,42.28
,龍安里,464,0,18,2206,2684,128,5500,90,5590,0,5590,4128,9718,57.52
,自強里,616,0,12,3094,3878,170,7770,100,7870,0,7870,5914,13784,57.1
,中信里,372,0,18,2304,2960,150,5804,90,5894,0,5894,5100,10994,53.61
,長德里,548,0,2,1894,2972,112,5528,72,5600,0,5600,3702,9302,60.2
,中平里,330,0,12,2238,2628,82,5290,102,5392,0,5392,3480,8872,60.78
,中原里,322,0,4,2438,2802,114,5680,82,5762,0,5762,2966,8728,66.02
,中泰里,308,0,4,2156,1970,116,4554,58,4612,0,4612,3114,7726,59.69
,南埔里,412,0,12,1860,2620,104,5008,76,5084,0,5084,3914,8998,56.5
,寶慶里,578,0,10,2418,2932,110,6048,56,6104,0,6104,5094,11198,54.51
,北埔里,502,0,8,1796,2242,98,4646,58,4704,0,4704,3910,8614,54.61
,中聖里,382,0,12,2726,2532,160,5812,62,5874,0,5874,4336,10210,57.53
,龍壽里,430,0,6,2266,3206,106,6014,80,6094,0,6094,4782,10876,56.03
,同德里,490,0,8,2434,2728,156,5816,76,5892,0,5892,5166,11058,53.28
,明德里,282,0,6,1422,1630,60,3400,44,3444,0,3444,2616,6060,56.83
,寶安里,662,0,20,3210,3778,152,7822,98,7920,0,7920,7032,14952,52.97
,瑞慶里,484,0,6,2210,2952,114,5766,72,5838,0,5838,5044,10882,53.65
,三元里,254,0,14,1492,1850,84,3694,54,3748,0,3748,2794,6542,57.29
,大樹里,286,0,6,1338,2442,72,4144,60,4204,0,4204,3218,7422,56.64
,大業里,360,0,8,2024,2738,152,5282,80,5362,0,5362,3882,9244,58.01
,福元里,268,0,14,1798,2388,80,4548,40,4588,0,4588,3448,8036,57.09
,總計,29504,0,848,147598,202482,8168,388600,5284,393884,0,393884,296316,690200,57.07
中壢區,,13658,0,1122,176308,188328,6500,385916,5954,391870,0,391870,252674,644544,60.8
,龍平里,100,0,10,2318,942,50,3420,60,3480,0,3480,2146,5626,61.86
,龍昌里,226,0,12,3410,2800,102,6550,110,6660,0,6660,3774,10434,63.83
,仁德里,150,0,10,1918,1594,60,3732,64,3796,0,3796,2064,5860,64.78
,永興里,32,0,8,462,634,28,1164,28,1192,0,1192,656,1848,64.5
,內壢里,84,0,10,1384,1044,48,2570,52,2622,0,2622,1546,4168,62.91
,成功里,150,0,10,2192,2314,82,4748,78,4826,0,4826,3348,8174,59.04
,光明里,216,0,12,2766,2616,122,5732,88,5820,0,5820,4684,10504,55.41
,自立里,180,0,8,4538,1124,82,5932,84,6016,0,6016,3968,9984,60.26
,自強里,124,0,6,2060,1524,100,3814,62,3876,0,3876,2754,6630,58.46
,中堅里,150,0,2,2354,1614,66,4186,72,4258,0,4258,2956,7214,59.02
,龍興里,138,0,18,2190,2670,100,5116,118,5234,0,5234,3092,8326,62.86
,仁美里,180,0,20,2876,2738,74,5888,80,5968,0,5968,4404,10372,57.54
,仁愛里,116,0,16,1720,1960,50,3862,54,3916,0,3916,1876,5792,67.61
,新街里,64,0,10,1052,1172,36,2334,40,2374,0,2374,1604,3978,59.68
,中央里,146,0,4,1960,2318,98,4526,72,4598,0,4598,2228,6826,67.36
,普仁里,184,0,18,1986,2398,78,4664,56,4720,0,4720,3282,8002,58.99
,普義里,150,0,18,2052,1838,100,4158,64,4222,0,4222,6664,10886,38.78
,忠義里,120,0,4,1562,1862,88,3636,56,3692,0,3692,3156,6848,53.91
,中正里,234,0,26,2688,2242,76,5266,80,5346,0,5346,3974,9320,57.36
,興仁里,132,0,10,1926,1576,74,3718,66,3784,0,3784,2716,6500,58.22
,東興里,122,0,12,1532,1984,50,3700,46,3746,0,3746,2702,6448,58.1
,洽溪里,178,0,8,1782,3108,104,5180,76,5256,0,5256,4002,9258,56.77
,篤行里,132,0,16,1238,1248,50,2684,50,2734,0,2734,2082,4816,56.77
,新明里,172,0,22,1692,2410,86,4382,74,4456,0,4456,2842,7298,61.06
,新興里,128,0,6,1886,2046,106,4172,56,4228,0,4228,2894,7122,59.37
,中原里,128,0,0,1988,2126,74,4316,52,4368,0,4368,2772,7140,61.18
,內定里,318,0,28,3108,5064,98,8616,162,8778,0,8778,3986,12764,68.77
,中壢里,28,0,2,396,492,18,936,30,966,0,966,464,1430,67.55
,龍岡里,208,0,16,2910,2214,102,5450,104,5554,0,5554,3410,8964,61.96
,仁祥里,100,0,10,1906,1414,42,3472,66,3538,0,3538,1910,5448,64.94
,水尾里,170,0,22,1588,2526,56,4362,60,4422,0,4422,2462,6884,64.24
,青埔里,152,0,8,1490,2154,100,3904,58,3962,0,3962,2636,6598,60.05
,復興里,354,0,14,3972,4716,160,9216,76,9292,0,9292,7938,17230,53.93
,文化里,396,0,18,4144,5408,184,10150,180,10330,0,10330,6380,16710,61.82
,興國里,84,0,6,962,1332,50,2434,38,2472,0,2472,1314,3786,65.29
,忠福里,384,0,38,3566,4700,136,8824,136,8960,0,8960,5440,14400,62.22
,信義里,222,0,14,2422,2586,86,5330,46,5376,0,5376,3008,8384,64.12
,石頭里,70,0,6,832,1234,30,2172,30,2202,0,2202,1150,3352,65.69
,龍東里,202,0,24,3720,1844,84,5874,78,5952,0,5952,3430,9382,63.44
,中建里,44,0,6,434,720,8,1212,20,1232,0,1232,734,1966,62.67
,興南里,110,0,10,1574,1562,52,3308,48,3356,0,3356,2518,5874,57.13
,後寮里,176,0,24,2396,2478,58,5132,78,5210,0,5210,4144,9354,55.7
,過嶺里,262,0,16,2282,3656,110,6326,70,6396,0,6396,5806,12202,52.42
,五權里,256,0,20,2688,3858,110,6932,116,7048,0,7048,4572,11620,60.65
,舊明里,76,0,4,776,1210,50,2116,30,2146,0,2146,864,3010,71.3
,芝芭里,110,0,22,1112,2514,46,3804,58,3862,0,3862,2570,6432,60.04
,月眉里,182,0,40,1648,4724,96,6690,90,6780,0,6780,3112,9892,68.54
,三民里,106,0,10,1300,2332,56,3804,46,3850,0,3850,2254,6104,63.07
,山東里,194,0,26,1292,3126,34,4672,86,4758,0,4758,2330,7088,67.13
,中榮里,34,0,6,436,568,18,1062,28,1090,0,1090,554,1644,66.3
,內厝里,202,0,40,1758,3744,102,5846,126,5972,0,5972,2962,8934,66.85
,振興里,180,0,14,2544,2840,98,5676,76,5752,0,5752,3566,9318,61.73
,普慶里,108,0,10,1472,1654,42,3286,50,3336,0,3336,1658,4994,66.8
,興和里,122,0,20,1332,2368,54,3896,56,3952,0,3952,1444,5396,73.24
,永光里,204,0,14,2442,3270,64,5994,76,6070,0,6070,4418,10488,57.88
,復華里,234,0,12,2760,3256,116,6378,104,6482,0,6482,3674,10156,63.82
,忠孝里,232,0,22,2434,2650,122,5460,94,5554,0,5554,3236,8790,63.19
,福德里,144,0,6,1702,1526,66,3444,60,3504,0,3504,2006,5510,63.59
,和平里,70,0,8,1454,1584,42,3158,38,3196,0,3196,1768,4964,64.38
,普忠里,180,0,4,1710,1662,76,3632,56,3688,0,3688,2718,6406,57.57
,普強里,174,0,14,1956,1876,98,4118,74,4192,0,4192,2968,7160,58.55
,明德里,228,0,16,2452,2684,98,5478,92,5570,0,5570,3408,8978,62.04
,至善里,110,0,8,2154,1640,58,3970,46,4016,0,4016,2820,6836,58.75
,五福里,112,0,10,1610,2458,88,4278,54,4332,0,4332,2702,7034,61.59
,龍德里,184,0,20,2522,2394,78,5198,62,5260,0,5260,2584,7844,67.06
,正義里,194,0,6,2192,2548,68,5008,86,5094,0,5094,3208,8302,61.36
,龍安里,72,0,10,1878,896,34,2890,46,2936,0,2936,1186,4122,71.23
,中山里,210,0,12,2736,2156,106,5220,78,5298,0,5298,3602,8900,59.53
,德義里,112,0,12,1386,1612,96,3218,52,3270,0,3270,1746,5016,65.19
,仁義里,164,0,16,1752,2196,98,4226,80,4306,0,4306,2930,7236,59.51
,華勛里,120,0,0,2236,1336,38,3730,72,3802,0,3802,3100,6902,55.09
,仁福里,164,0,14,2838,2168,80,5264,64,5328,0,5328,3730,9058,58.82
,幸福里,236,0,20,2770,3706,126,6858,72,6930,0,6930,4584,11514,60.19
,永福里,220,0,18,2734,3878,150,7000,120,7120,0,7120,3468,10588,67.25
,仁和里,110,0,10,2102,1458,72,3752,56,3808,0,3808,3056,6864,55.48
,華愛里,160,0,10,2128,1752,68,4118,74,4192,0,4192,2492,6684,62.72
,莊敬里,124,0,14,2666,966,56,3826,60,3886,0,3886,2754,6640,58.52
,自治里,126,0,6,2688,1180,52,4052,60,4112,0,4112,2328,6440,63.85
,健行里,178,0,10,2342,2620,50,5200,76,5276,0,5276,3156,8432,62.57
,興平里,88,0,8,1178,1978,40,3292,50,3342,0,3342,1332,4674,71.5
,中興里,164,0,6,1904,1474,62,3610,64,3674,0,3674,2526,6200,59.26
,龍慈里,196,0,10,2536,2012,84,4838,50,4888,0,4888,4122,9010,54.25
,自信里,240,0,18,2976,2360,108,5702,80,5782,0,5782,4620,10402,55.59
,林森里,182,0,10,2152,2288,66,4698,76,4774,0,4774,2470,7244,65.9
,金華里,140,0,8,2326,1804,76,4354,102,4456,0,4456,3160,7616,58.51
,總計,13658,0,1122,176308,188328,6500,385916,5954,391870,0,391870,252674,644544,60.8
大溪區,,3794,0,380,32542,57492,1220,95428,1844,97272,0,97272,53578,150850,64.48
,興和里,76,0,2,450,1286,26,1840,56,1896,0,1896,990,2886,65.7
,福仁里,28,0,6,270,1018,6,1328,30,1358,0,1358,596,1954,69.5
,一心里,224,0,14,1554,3428,86,5306,90,5396,0,5396,3738,9134,59.08
,一德里,290,0,28,1792,4488,64,6662,120,6782,0,6782,3870,10652,63.67
,月眉里,50,0,6,364,1406,20,1846,24,1870,0,1870,546,2416,77.4
,永福里,48,0,6,290,1040,16,1400,40,1440,0,1440,464,1904,75.63
,美華里,152,0,12,960,2806,44,3974,80,4054,0,4054,1804,5858,69.2
,福安里,160,0,20,614,2268,52,3114,56,3170,0,3170,1258,4428,71.59
,復興里,58,0,4,296,932,20,1310,52,1362,0,1362,474,1836,74.18
,新峰里,98,0,6,264,898,16,1282,34,1316,0,1316,302,1618,81.33
,康安里,62,0,16,446,1320,20,1864,46,1910,0,1910,736,2646,72.18
,義和里,78,0,6,624,1738,20,2466,40,2506,0,2506,994,3500,71.6
,瑞興里,142,0,34,828,2426,48,3478,92,3570,0,3570,1684,5254,67.95
,中新里,52,0,6,502,1428,24,2012,28,2040,0,2040,968,3008,67.82
,仁義里,96,0,10,1842,1134,40,3122,84,3206,0,3206,2300,5506,58.23
,僑愛里,128,0,10,2170,714,52,3074,34,3108,0,3108,1848,4956,62.71
,仁善里,188,0,12,1508,2454,60,4222,60,4282,0,4282,2574,6856,62.46
,仁愛里,264,0,26,2192,3568,70,6120,92,6212,0,6212,3400,9612,64.63
,仁武里,138,0,10,1482,2032,48,3710,78,3788,0,3788,2156,5944,63.73
,員林里,48,0,4,710,910,20,1692,18,1710,0,1710,1194,2904,58.88
,南興里,188,0,24,1568,3412,84,5276,92,5368,0,5368,4206,9574,56.07
,瑞源里,220,0,28,1484,2692,74,4498,84,4582,0,4582,2582,7164,63.96
,光明里,56,0,6,1416,1226,30,2734,66,2800,0,2800,1830,4630,60.48
,三元里,158,0,8,1832,1426,40,3464,80,3544,0,3544,1816,5360,66.12
,田心里,210,0,26,1394,3504,66,5200,98,5298,0,5298,3348,8646,61.28
,仁文里,170,0,14,1794,2480,48,4506,70,4576,0,4576,2860,7436,61.54
,仁和里,236,0,20,2214,3222,64,5756,88,5844,0,5844,3058,8902,65.65
,仁美里,176,0,16,1682,2236,62,4172,112,4284,0,4284,1982,6266,68.37
,總計,3794,0,380,32542,57492,1220,95428,1844,97272,0,97272,53578,150850,64.48
楊梅區,,6774,0,696,65076,80544,2408,155498,2480,157978,0,157978,107220,265198,59.57
,楊梅里,206,0,12,2002,2176,62,4458,68,4526,0,4526,2650,7176,63.07
,楊江里,70,0,4,676,604,24,1378,20,1398,0,1398,710,2108,66.32
,紅梅里,126,0,14,1440,1738,54,3372,58,3430,0,3430,1684,5114,67.07
,永寧里,276,0,18,2862,3490,102,6748,80,6828,0,6828,6564,13392,50.99
,大平里,214,0,26,1674,1846,44,3804,64,3868,0,3868,2406,6274,61.65
,東流里,124,0,10,1050,1886,38,3108,50,3158,0,3158,2148,5306,59.52
,水美里,222,0,28,2114,2676,68,5108,68,5176,0,5176,2738,7914,65.4
,上田里,150,0,14,1190,2156,54,3564,66,3630,0,3630,1378,5008,72.48
,梅新里,108,0,8,1112,1260,18,2506,36,2542,0,2542,1368,3910,65.01
,大同里,162,0,24,1970,1900,74,4130,52,4182,0,4182,2202,6384,65.51
,埔心里,54,0,14,674,1054,44,1840,22,1862,0,1862,956,2818,66.08
,金龍里,62,0,2,852,472,18,1406,38,1444,0,1444,748,2192,65.88
,瑞塘里,224,0,26,2078,3076,90,5494,92,5586,0,5586,4656,10242,54.54
,四維里,212,0,18,2106,2054,66,4456,66,4522,0,4522,3530,8052,56.16
,梅溪里,168,0,16,1718,1936,78,3916,78,3994,0,3994,3138,7132,56.0
,高山里,198,0,16,1600,1898,46,3758,54,3812,0,3812,3206,7018,54.32
,高榮里,200,0,18,1340,2454,44,4056,64,4120,0,4120,2340,6460,63.78
,仁美里,202,0,32,2248,2560,86,5128,80,5208,0,5208,2406,7614,68.4
,光華里,88,0,6,1814,1542,52,3502,70,3572,0,3572,2580,6152,58.06
,富岡里,104,0,8,934,1144,34,2224,58,2282,0,2282,1284,3566,63.99
,豐野里,178,0,22,1620,2384,66,4270,72,4342,0,4342,3066,7408,58.61
,員本里,142,0,20,1170,1838,38,3208,56,3264,0,3264,1892,5156,63.3
,瑞原里,200,0,22,1696,2586,68,4572,80,4652,0,4652,2610,7262,64.06
,三湖里,130,0,6,1246,1948,42,3372,56,3428,0,3428,1768,5196,65.97
,上湖里,224,0,12,2142,2834,98,5310,78,5388,0,5388,5050,10438,51.62
,中山里,192,0,20,1550,1742,44,3548,58,3606,0,3606,2172,5778,62.41
,楊明里,318,0,36,2842,3116,132,6444,92,6536,0,6536,5644,12180,53.66
,金溪里,194,0,16,1798,1684,110,3802,66,3868,0,3868,3148,7016,55.13
,裕成里,104,0,18,1788,1744,70,3724,58,3782,0,3782,2460,6242,60.59
,秀才里,200,0,22,1556,2382,66,4226,58,4284,0,4284,2208,6492,65.99
,青山里,154,0,14,1758,2044,60,4030,64,4094,0,4094,3380,7474,54.78
,新榮里,122,0,4,1476,2220,64,3886,50,3936,0,3936,2746,6682,58.9
,雙榮里,160,0,12,1440,2116,72,3800,40,3840,0,3840,2288,6128,62.66
,瑞坪里,258,0,30,2812,2842,94,6036,70,6106,0,6106,4542,10648,57.34
,永平里,120,0,12,924,1078,50,2184,28,2212,0,2212,1460,3672,60.24
,瑞溪里,112,0,16,1348,1788,52,3316,44,3360,0,3360,3332,6692,50.21
,高上里,176,0,18,1102,1898,46,3240,74,3314,0,3314,1906,5220,63.49
,富豐里,186,0,20,1308,1964,24,3502,76,3578,0,3578,2064,5642,63.42
,裕新里,102,0,24,1016,962,22,2126,30,2156,0,2156,2268,4424,48.73
,三民里,180,0,18,1672,1742,50,3662,56,3718,0,3718,2590,6308,58.94
,頭湖里,152,0,20,1358,1710,44,3284,90,3374,0,3374,1934,5308,63.56
,總計,6774,0,696,65076,80544,2408,155498,2480,157978,0,157978,107220,265198,59.57
蘆竹區,,8394,0,428,48328,83876,3220,144246,2450,146696,0,146696,100706,247402,59.29
,新興里,182,0,14,738,2274,62,3270,56,3326,0,3326,2242,5568,59.73
,中福里,234,0,8,1038,2798,72,4150,66,4216,0,4216,3122,7338,57.45
,新莊里,366,0,14,1492,3234,108,5214,78,5292,0,5292,3912,9204,57.5
,大竹里,292,0,10,1820,2664,84,4870,78,4948,0,4948,4040,8988,55.05
,蘆竹里,272,0,8,992,2906,86,4264,88,4352,0,4352,3518,7870,55.3
,南崁里,258,0,20,1376,2346,94,4094,86,4180,0,4180,2690,6870,60.84
,錦興里,276,0,6,1346,2616,68,4312,98,4410,0,4410,2832,7242,60.89
,五福里,162,0,4,1114,1484,58,2822,52,2874,0,2874,1682,4556,63.08
,內厝里,190,0,14,816,1888,60,2968,48,3016,0,3016,1860,4876,61.85
,山鼻里,154,0,20,626,1576,38,2414,58,2472,0,2472,948,3420,72.28
,山腳里,236,0,14,916,2862,90,4118,74,4192,0,4192,2726,6918,60.6
,外社里,160,0,18,378,1654,30,2240,50,2290,0,2290,596,2886,79.35
,坑子里,122,0,14,380,1900,26,2442,56,2498,0,2498,730,3228,77.39
,坑口里,186,0,8,766,2344,58,3362,100,3462,0,3462,1328,4790,72.28
,海湖里,258,0,8,1266,2366,98,3996,84,4080,0,4080,1522,5602,72.83
,南榮里,166,0,2,1246,1974,80,3468,42,3510,0,3510,2562,6072,57.81
,南興里,304,0,8,2186,2646,174,5318,78,5396,0,5396,4166,9562,56.43
,長興里,228,0,12,898,1848,56,3042,78,3120,0,3120,1838,4958,62.93
,錦中里,170,0,10,1214,1872,82,3348,62,3410,0,3410,2666,6076,56.12
,富竹里,100,0,4,310,1192,32,1638,24,1662,0,1662,904,2566,64.77
,上竹里,228,0,8,1268,2160,76,3740,48,3788,0,3788,2788,6576,57.6
