行政區別,村里別,余夏夫,孫永昌,徐成國Hane‧Gayaw,林秋美Abi‧Mulu,林聖明,楊德金Kati‧Payo,笛布斯‧顗賚,羅名材Halu‧Lihang,萬榮財Lafi‧Mayaw,蕭民隆,詹金福,陳建忠,陳英妹,高潞‧以用‧巴魕剌Kawlo‧Iyun‧Pacidal,余夏夫_黨籍,孫永昌_黨籍,徐成國Hane‧Gayaw_黨籍,林秋美Abi‧Mulu_黨籍,林聖明_黨籍,楊德金Kati‧Payo_黨籍,笛布斯‧顗賚_黨籍,羅名材Halu‧Lihang_黨籍,萬榮財Lafi‧Mayaw_黨籍,蕭民隆_黨籍,詹金福_黨籍,陳建忠_黨籍,陳英妹_黨籍,高潞‧以用‧巴魕剌Kawlo‧Iyun‧Pacidal_黨籍
花蓮市,主工里,2.0,,,0.0,,,4.0,0.0,,6.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,主權里,84.0,,,114.0,,,336.0,70.0,,118.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,主睦里,0.0,,,2.0,,,10.0,0.0,,2.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,主義里,2.0,,,0.0,,,4.0,2.0,,0.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,主計里,6.0,,,0.0,,,4.0,8.0,,8.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,主農里,52.0,,,38.0,,,76.0,38.0,,48.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國光里,2.0,,,2.0,,,22.0,10.0,,12.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國威里,10.0,,,14.0,,,12.0,6.0,,14.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國安里,2.0,,,2.0,,,10.0,4.0,,10.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國富里,40.0,,,76.0,,,74.0,44.0,,88.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國強里,12.0,,,36.0,,,42.0,16.0,,120.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國慶里,14.0,,,54.0,,,28.0,6.0,,60.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國治里,6.0,,,2.0,,,28.0,2.0,,6.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國盛里,40.0,,,22.0,,,90.0,34.0,,50.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國福里,62.0,,,156.0,,,50.0,44.0,,268.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國聯里,20.0,,,14.0,,,26.0,22.0,,16.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國興里,34.0,,,42.0,,,62.0,38.0,,108.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國華里,10.0,,,8.0,,,18.0,6.0,,12.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國裕里,34.0,,,58.0,,,112.0,34.0,,124.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國防里,8.0,,,6.0,,,22.0,2.0,,14.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國風里,22.0,,,18.0,,,36.0,14.0,,12.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,國魂里,18.0,,,8.0,,,28.0,18.0,,28.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民主里,10.0,,,8.0,,,4.0,6.0,,12.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民享里,38.0,,,44.0,,,88.0,34.0,,104.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民勤里,36.0,,,30.0,,,48.0,32.0,,48.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民孝里,96.0,,,78.0,,,122.0,56.0,,136.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民德里,6.0,,,2.0,,,16.0,10.0,,6.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民心里,18.0,,,22.0,,,24.0,4.0,,14.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民意里,36.0,,,34.0,,,64.0,22.0,,92.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民政里,68.0,,,22.0,,,84.0,38.0,,74.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民族里,2.0,,,0.0,,,2.0,2.0,,2.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民有里,8.0,,,0.0,,,8.0,2.0,,0.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民樂里,38.0,,,6.0,,,18.0,2.0,,38.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民權里,6.0,,,0.0,,,4.0,2.0,,2.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民治里,0.0,,,0.0,,,0.0,0.0,,0.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民生里,0.0,,,2.0,,,4.0,2.0,,6.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民立里,36.0,,,18.0,,,34.0,6.0,,10.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
花蓮市,民運里,68.0,,,28.0,,,32.0,10.0,,24.0,,,,,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,明利村,,4.0,,,,12.0,,,14.0,,,,,8.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,紅葉村,,2.0,,,,16.0,,,2.0,,,,,12.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,萬榮村,,6.0,,,,12.0,,,0.0,,,,,12.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,西林村,,4.0,,,,10.0,,,14.0,,,,,6.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,見晴村,,2.0,,,,2.0,,,0.0,,,,,4.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
萬榮鄉,馬遠村,,16.0,,,,4.0,,,4.0,,,,,18.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
豐濱鄉,新社村,,248.0,,,,232.0,,,92.0,,,,,50.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
豐濱鄉,港口村,,230.0,,,,268.0,,,140.0,,,,,252.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
豐濱鄉,磯崎村,,208.0,,,,134.0,,,48.0,,,,,42.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
豐濱鄉,豐濱村,,492.0,,,,728.0,,,296.0,,,,,112.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
豐濱鄉,靜浦村,,330.0,,,,248.0,,,146.0,,,,,76.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,北林里,,4.0,,,,0.0,,,4.0,,,,,8.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,南平里,,2.0,,,,0.0,,,2.0,,,,,4.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,大榮里,,38.0,,,,56.0,,,46.0,,,,,36.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,山興里,,48.0,,,,122.0,,,116.0,,,,,178.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,林榮里,,0.0,,,,8.0,,,12.0,,,,,4.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,森榮里,,28.0,,,,2.0,,,24.0,,,,,6.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,長橋里,,56.0,,,,16.0,,,32.0,,,,,26.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,鳳仁里,,8.0,,,,2.0,,,8.0,,,,,18.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,鳳信里,,126.0,,,,100.0,,,206.0,,,,,248.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,鳳智里,,6.0,,,,20.0,,,16.0,,,,,40.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,鳳禮里,,8.0,,,,4.0,,,6.0,,,,,6.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
鳳林鎮,鳳義里,,4.0,,,,2.0,,,2.0,,,,,10.0,中國國民黨,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,無黨籍及未經政黨推薦,中國國民黨,親民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦
