行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,候選人4＿候選人名稱,候選人4＿黨籍,候選人4_得票數
光復鄉,北富村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,94,蕭美琴,民主進步黨,64,黄師鵬,無黨籍及未經政黨推薦,2
光復鄉,南富村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,38,蕭美琴,民主進步黨,74,黄師鵬,無黨籍及未經政黨推薦,2
光復鄉,大全村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,280,蕭美琴,民主進步黨,282,黄師鵬,無黨籍及未經政黨推薦,12
光復鄉,大同村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,364,蕭美琴,民主進步黨,380,黄師鵬,無黨籍及未經政黨推薦,8
光復鄉,大安村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,458,蕭美琴,民主進步黨,496,黄師鵬,無黨籍及未經政黨推薦,12
光復鄉,大富村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,144,蕭美琴,民主進步黨,160,黄師鵬,無黨籍及未經政黨推薦,10
光復鄉,大平村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,130,蕭美琴,民主進步黨,148,黄師鵬,無黨籍及未經政黨推薦,12
光復鄉,大興村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,124,蕭美琴,民主進步黨,130,黄師鵬,無黨籍及未經政黨推薦,2
光復鄉,大華村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,456,蕭美琴,民主進步黨,608,黄師鵬,無黨籍及未經政黨推薦,14
光復鄉,大豐村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,226,蕭美琴,民主進步黨,228,黄師鵬,無黨籍及未經政黨推薦,8
光復鄉,大進村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,232,蕭美琴,民主進步黨,180,黄師鵬,無黨籍及未經政黨推薦,6
光復鄉,大馬村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,170,蕭美琴,民主進步黨,170,黄師鵬,無黨籍及未經政黨推薦,16
光復鄉,東富村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,72,蕭美琴,民主進步黨,68,黄師鵬,無黨籍及未經政黨推薦,2
光復鄉,西富村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,116,蕭美琴,民主進步黨,156,黄師鵬,無黨籍及未經政黨推薦,8
卓溪鄉,卓清村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,44,蕭美琴,民主進步黨,20,黄師鵬,無黨籍及未經政黨推薦,2
卓溪鄉,卓溪村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,42,蕭美琴,民主進步黨,26,黄師鵬,無黨籍及未經政黨推薦,0
卓溪鄉,古風村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,36,蕭美琴,民主進步黨,24,黄師鵬,無黨籍及未經政黨推薦,2
卓溪鄉,太平村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,12,蕭美琴,民主進步黨,8,黄師鵬,無黨籍及未經政黨推薦,2
卓溪鄉,崙山村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,14,蕭美琴,民主進步黨,2,黄師鵬,無黨籍及未經政黨推薦,0
卓溪鄉,立山村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,16,蕭美琴,民主進步黨,4,黄師鵬,無黨籍及未經政黨推薦,2
吉安鄉,仁和村,楊悟空,無黨籍及未經政黨推薦,34,王廷升,中國國民黨,1592,蕭美琴,民主進步黨,2148,黄師鵬,無黨籍及未經政黨推薦,72
吉安鄉,仁安村,楊悟空,無黨籍及未經政黨推薦,16,王廷升,中國國民黨,664,蕭美琴,民主進步黨,1048,黄師鵬,無黨籍及未經政黨推薦,34
吉安鄉,仁里村,楊悟空,無黨籍及未經政黨推薦,60,王廷升,中國國民黨,2668,蕭美琴,民主進步黨,3256,黄師鵬,無黨籍及未經政黨推薦,102
吉安鄉,光華村,楊悟空,無黨籍及未經政黨推薦,56,王廷升,中國國民黨,782,蕭美琴,民主進步黨,696,黄師鵬,無黨籍及未經政黨推薦,34
吉安鄉,勝安村,楊悟空,無黨籍及未經政黨推薦,68,王廷升,中國國民黨,2114,蕭美琴,民主進步黨,3212,黄師鵬,無黨籍及未經政黨推薦,72
吉安鄉,北昌村,楊悟空,無黨籍及未經政黨推薦,66,王廷升,中國國民黨,3202,蕭美琴,民主進步黨,4636,黄師鵬,無黨籍及未經政黨推薦,100
吉安鄉,南昌村,楊悟空,無黨籍及未經政黨推薦,36,王廷升,中國國民黨,1266,蕭美琴,民主進步黨,1866,黄師鵬,無黨籍及未經政黨推薦,56
吉安鄉,南華村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,484,蕭美琴,民主進步黨,916,黄師鵬,無黨籍及未經政黨推薦,20
吉安鄉,吉安村,楊悟空,無黨籍及未經政黨推薦,44,王廷升,中國國民黨,2148,蕭美琴,民主進步黨,2978,黄師鵬,無黨籍及未經政黨推薦,86
吉安鄉,太昌村,楊悟空,無黨籍及未經政黨推薦,28,王廷升,中國國民黨,1214,蕭美琴,民主進步黨,1900,黄師鵬,無黨籍及未經政黨推薦,40
吉安鄉,宜昌村,楊悟空,無黨籍及未經政黨推薦,40,王廷升,中國國民黨,1476,蕭美琴,民主進步黨,2018,黄師鵬,無黨籍及未經政黨推薦,54
吉安鄉,干城村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,502,蕭美琴,民主進步黨,358,黄師鵬,無黨籍及未經政黨推薦,14
吉安鄉,慶豐村,楊悟空,無黨籍及未經政黨推薦,92,王廷升,中國國民黨,2812,蕭美琴,民主進步黨,4022,黄師鵬,無黨籍及未經政黨推薦,94
吉安鄉,東昌村,楊悟空,無黨籍及未經政黨推薦,48,王廷升,中國國民黨,2016,蕭美琴,民主進步黨,2366,黄師鵬,無黨籍及未經政黨推薦,74
吉安鄉,永安村,楊悟空,無黨籍及未經政黨推薦,40,王廷升,中國國民黨,1894,蕭美琴,民主進步黨,2290,黄師鵬,無黨籍及未經政黨推薦,58
吉安鄉,永興村,楊悟空,無黨籍及未經政黨推薦,34,王廷升,中國國民黨,1044,蕭美琴,民主進步黨,1320,黄師鵬,無黨籍及未經政黨推薦,52
吉安鄉,福興村,楊悟空,無黨籍及未經政黨推薦,16,王廷升,中國國民黨,1076,蕭美琴,民主進步黨,1712,黄師鵬,無黨籍及未經政黨推薦,30
吉安鄉,稻香村,楊悟空,無黨籍及未經政黨推薦,40,王廷升,中國國民黨,1482,蕭美琴,民主進步黨,1790,黄師鵬,無黨籍及未經政黨推薦,58
壽豐鄉,光榮村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,52,蕭美琴,民主進步黨,74,黄師鵬,無黨籍及未經政黨推薦,0
壽豐鄉,共和村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,222,蕭美琴,民主進步黨,300,黄師鵬,無黨籍及未經政黨推薦,8
壽豐鄉,壽豐村,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,490,蕭美琴,民主進步黨,720,黄師鵬,無黨籍及未經政黨推薦,18
壽豐鄉,平和村,楊悟空,無黨籍及未經政黨推薦,12,王廷升,中國國民黨,474,蕭美琴,民主進步黨,798,黄師鵬,無黨籍及未經政黨推薦,16
壽豐鄉,志學村,楊悟空,無黨籍及未經政黨推薦,40,王廷升,中國國民黨,876,蕭美琴,民主進步黨,1552,黄師鵬,無黨籍及未經政黨推薦,34
壽豐鄉,月眉村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,100,蕭美琴,民主進步黨,134,黄師鵬,無黨籍及未經政黨推薦,10
壽豐鄉,樹湖村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,160,蕭美琴,民主進步黨,180,黄師鵬,無黨籍及未經政黨推薦,16
壽豐鄉,水璉村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,130,蕭美琴,民主進步黨,214,黄師鵬,無黨籍及未經政黨推薦,4
壽豐鄉,池南村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,178,蕭美琴,民主進步黨,334,黄師鵬,無黨籍及未經政黨推薦,12
壽豐鄉,溪口村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,284,蕭美琴,民主進步黨,388,黄師鵬,無黨籍及未經政黨推薦,16
壽豐鄉,米棧村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,88,蕭美琴,民主進步黨,76,黄師鵬,無黨籍及未經政黨推薦,4
壽豐鄉,豐坪村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,326,蕭美琴,民主進步黨,442,黄師鵬,無黨籍及未經政黨推薦,12
壽豐鄉,豐山村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,808,蕭美琴,民主進步黨,1118,黄師鵬,無黨籍及未經政黨推薦,28
壽豐鄉,豐裡村,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,576,蕭美琴,民主進步黨,692,黄師鵬,無黨籍及未經政黨推薦,16
壽豐鄉,鹽寮村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,170,蕭美琴,民主進步黨,198,黄師鵬,無黨籍及未經政黨推薦,4
富里鄉,吳江村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,208,蕭美琴,民主進步黨,150,黄師鵬,無黨籍及未經政黨推薦,12
富里鄉,學田村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,228,蕭美琴,民主進步黨,374,黄師鵬,無黨籍及未經政黨推薦,4
富里鄉,富南村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,192,蕭美琴,民主進步黨,204,黄師鵬,無黨籍及未經政黨推薦,8
富里鄉,富里村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,670,蕭美琴,民主進步黨,676,黄師鵬,無黨籍及未經政黨推薦,18
富里鄉,新興村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,256,蕭美琴,民主進步黨,164,黄師鵬,無黨籍及未經政黨推薦,8
富里鄉,明里村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,194,蕭美琴,民主進步黨,172,黄師鵬,無黨籍及未經政黨推薦,4
富里鄉,東里村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,380,蕭美琴,民主進步黨,372,黄師鵬,無黨籍及未經政黨推薦,20
富里鄉,永豐村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,256,蕭美琴,民主進步黨,184,黄師鵬,無黨籍及未經政黨推薦,8
富里鄉,石牌村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,414,蕭美琴,民主進步黨,412,黄師鵬,無黨籍及未經政黨推薦,6
富里鄉,竹田村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,658,蕭美琴,民主進步黨,354,黄師鵬,無黨籍及未經政黨推薦,28
富里鄉,羅山村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,254,蕭美琴,民主進步黨,162,黄師鵬,無黨籍及未經政黨推薦,14
富里鄉,萬寧村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,274,蕭美琴,民主進步黨,144,黄師鵬,無黨籍及未經政黨推薦,12
富里鄉,豐南村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,130,蕭美琴,民主進步黨,110,黄師鵬,無黨籍及未經政黨推薦,4
新城鄉,佳林村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,328,蕭美琴,民主進步黨,494,黄師鵬,無黨籍及未經政黨推薦,14
新城鄉,北埔村,楊悟空,無黨籍及未經政黨推薦,26,王廷升,中國國民黨,1340,蕭美琴,民主進步黨,1620,黄師鵬,無黨籍及未經政黨推薦,50
新城鄉,嘉新村,楊悟空,無黨籍及未經政黨推薦,22,王廷升,中國國民黨,474,蕭美琴,民主進步黨,336,黄師鵬,無黨籍及未經政黨推薦,14
新城鄉,嘉里村,楊悟空,無黨籍及未經政黨推薦,54,王廷升,中國國民黨,1548,蕭美琴,民主進步黨,1484,黄師鵬,無黨籍及未經政黨推薦,84
新城鄉,大漢村,楊悟空,無黨籍及未經政黨推薦,28,王廷升,中國國民黨,838,蕭美琴,民主進步黨,718,黄師鵬,無黨籍及未經政黨推薦,18
新城鄉,康樂村,楊悟空,無黨籍及未經政黨推薦,18,王廷升,中國國民黨,982,蕭美琴,民主進步黨,1174,黄師鵬,無黨籍及未經政黨推薦,18
新城鄉,新城村,楊悟空,無黨籍及未經政黨推薦,26,王廷升,中國國民黨,590,蕭美琴,民主進步黨,754,黄師鵬,無黨籍及未經政黨推薦,12
新城鄉,順安村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,346,蕭美琴,民主進步黨,594,黄師鵬,無黨籍及未經政黨推薦,10
玉里鎮,三民里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,296,蕭美琴,民主進步黨,516,黄師鵬,無黨籍及未經政黨推薦,16
玉里鎮,中城里,楊悟空,無黨籍及未經政黨推薦,26,王廷升,中國國民黨,2238,蕭美琴,民主進步黨,2652,黄師鵬,無黨籍及未經政黨推薦,70
玉里鎮,啟模里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,720,蕭美琴,民主進步黨,768,黄師鵬,無黨籍及未經政黨推薦,26
玉里鎮,國武里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,670,蕭美琴,民主進步黨,712,黄師鵬,無黨籍及未經政黨推薦,18
玉里鎮,大禹里,楊悟空,無黨籍及未經政黨推薦,12,王廷升,中國國民黨,340,蕭美琴,民主進步黨,440,黄師鵬,無黨籍及未經政黨推薦,16
玉里鎮,德武里,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,22,蕭美琴,民主進步黨,18,黄師鵬,無黨籍及未經政黨推薦,0
玉里鎮,春日里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,114,蕭美琴,民主進步黨,222,黄師鵬,無黨籍及未經政黨推薦,10
玉里鎮,東豐里,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,134,蕭美琴,民主進步黨,208,黄師鵬,無黨籍及未經政黨推薦,16
玉里鎮,松浦里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,182,蕭美琴,民主進步黨,162,黄師鵬,無黨籍及未經政黨推薦,6
玉里鎮,樂合里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,162,蕭美琴,民主進步黨,158,黄師鵬,無黨籍及未經政黨推薦,8
玉里鎮,永昌里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,498,蕭美琴,民主進步黨,450,黄師鵬,無黨籍及未經政黨推薦,10
玉里鎮,泰昌里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,548,蕭美琴,民主進步黨,370,黄師鵬,無黨籍及未經政黨推薦,16
玉里鎮,源城里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,464,蕭美琴,民主進步黨,588,黄師鵬,無黨籍及未經政黨推薦,20
