行政區別,村里別,候選人1＿候選人名稱,候選人1＿黨籍,候選人1_得票數,候選人2＿候選人名稱,候選人2＿黨籍,候選人2_得票數,候選人3＿候選人名稱,候選人3＿黨籍,候選人3_得票數,候選人4＿候選人名稱,候選人4＿黨籍,候選人4_得票數
玉里鎮,觀音里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,366,蕭美琴,民主進步黨,382,黄師鵬,無黨籍及未經政黨推薦,14
玉里鎮,長良里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,200,蕭美琴,民主進步黨,112,黄師鵬,無黨籍及未經政黨推薦,6
瑞穗鄉,奇美村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,28,蕭美琴,民主進步黨,26,黄師鵬,無黨籍及未經政黨推薦,2
瑞穗鄉,富民村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,96,蕭美琴,民主進步黨,78,黄師鵬,無黨籍及未經政黨推薦,2
瑞穗鄉,富源村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,246,蕭美琴,民主進步黨,296,黄師鵬,無黨籍及未經政黨推薦,2
瑞穗鄉,富興村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,84,蕭美琴,民主進步黨,360,黄師鵬,無黨籍及未經政黨推薦,12
瑞穗鄉,瑞北村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,164,蕭美琴,民主進步黨,198,黄師鵬,無黨籍及未經政黨推薦,12
瑞穗鄉,瑞祥村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,352,蕭美琴,民主進步黨,436,黄師鵬,無黨籍及未經政黨推薦,16
瑞穗鄉,瑞穗村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,848,蕭美琴,民主進步黨,990,黄師鵬,無黨籍及未經政黨推薦,32
瑞穗鄉,瑞美村,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,754,蕭美琴,民主進步黨,810,黄師鵬,無黨籍及未經政黨推薦,8
瑞穗鄉,瑞良村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,192,蕭美琴,民主進步黨,212,黄師鵬,無黨籍及未經政黨推薦,6
瑞穗鄉,舞鶴村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,218,蕭美琴,民主進步黨,210,黄師鵬,無黨籍及未經政黨推薦,6
瑞穗鄉,鶴岡村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,104,蕭美琴,民主進步黨,122,黄師鵬,無黨籍及未經政黨推薦,6
秀林鄉,佳民村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,72,蕭美琴,民主進步黨,58,黄師鵬,無黨籍及未經政黨推薦,2
秀林鄉,和平村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,160,蕭美琴,民主進步黨,248,黄師鵬,無黨籍及未經政黨推薦,4
秀林鄉,富世村,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,136,蕭美琴,民主進步黨,140,黄師鵬,無黨籍及未經政黨推薦,6
秀林鄉,崇德村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,164,蕭美琴,民主進步黨,162,黄師鵬,無黨籍及未經政黨推薦,0
秀林鄉,文蘭村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,40,蕭美琴,民主進步黨,32,黄師鵬,無黨籍及未經政黨推薦,2
秀林鄉,景美村,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,58,蕭美琴,民主進步黨,86,黄師鵬,無黨籍及未經政黨推薦,0
秀林鄉,水源村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,72,蕭美琴,民主進步黨,64,黄師鵬,無黨籍及未經政黨推薦,2
秀林鄉,秀林村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,46,蕭美琴,民主進步黨,46,黄師鵬,無黨籍及未經政黨推薦,0
秀林鄉,銅門村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,36,蕭美琴,民主進步黨,26,黄師鵬,無黨籍及未經政黨推薦,0
花蓮市,主信里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,266,蕭美琴,民主進步黨,436,黄師鵬,無黨籍及未經政黨推薦,4
花蓮市,主力里,楊悟空,無黨籍及未經政黨推薦,34,王廷升,中國國民黨,1212,蕭美琴,民主進步黨,1784,黄師鵬,無黨籍及未經政黨推薦,32
花蓮市,主勤里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,420,蕭美琴,民主進步黨,552,黄師鵬,無黨籍及未經政黨推薦,12
花蓮市,主和里,楊悟空,無黨籍及未經政黨推薦,42,王廷升,中國國民黨,1404,蕭美琴,民主進步黨,1976,黄師鵬,無黨籍及未經政黨推薦,46
花蓮市,主商里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,282,蕭美琴,民主進步黨,496,黄師鵬,無黨籍及未經政黨推薦,6
花蓮市,主學里,楊悟空,無黨籍及未經政黨推薦,28,王廷升,中國國民黨,842,蕭美琴,民主進步黨,1208,黄師鵬,無黨籍及未經政黨推薦,32
花蓮市,主安里,楊悟空,無黨籍及未經政黨推薦,52,王廷升,中國國民黨,1264,蕭美琴,民主進步黨,1436,黄師鵬,無黨籍及未經政黨推薦,44
花蓮市,主工里,楊悟空,無黨籍及未經政黨推薦,16,王廷升,中國國民黨,270,蕭美琴,民主進步黨,432,黄師鵬,無黨籍及未經政黨推薦,16
花蓮市,主權里,楊悟空,無黨籍及未經政黨推薦,64,王廷升,中國國民黨,2200,蕭美琴,民主進步黨,3104,黄師鵬,無黨籍及未經政黨推薦,100
花蓮市,主睦里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,240,蕭美琴,民主進步黨,382,黄師鵬,無黨籍及未經政黨推薦,10
花蓮市,主義里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,204,蕭美琴,民主進步黨,332,黄師鵬,無黨籍及未經政黨推薦,4
花蓮市,主計里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,366,蕭美琴,民主進步黨,462,黄師鵬,無黨籍及未經政黨推薦,8
花蓮市,主農里,楊悟空,無黨籍及未經政黨推薦,56,王廷升,中國國民黨,1684,蕭美琴,民主進步黨,2052,黄師鵬,無黨籍及未經政黨推薦,40
花蓮市,國光里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,600,蕭美琴,民主進步黨,668,黄師鵬,無黨籍及未經政黨推薦,22
花蓮市,國威里,楊悟空,無黨籍及未經政黨推薦,28,王廷升,中國國民黨,732,蕭美琴,民主進步黨,1064,黄師鵬,無黨籍及未經政黨推薦,20
花蓮市,國安里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,252,蕭美琴,民主進步黨,370,黄師鵬,無黨籍及未經政黨推薦,8
花蓮市,國富里,楊悟空,無黨籍及未經政黨推薦,64,王廷升,中國國民黨,2376,蕭美琴,民主進步黨,3094,黄師鵬,無黨籍及未經政黨推薦,76
花蓮市,國強里,楊悟空,無黨籍及未經政黨推薦,28,王廷升,中國國民黨,634,蕭美琴,民主進步黨,1014,黄師鵬,無黨籍及未經政黨推薦,20
花蓮市,國慶里,楊悟空,無黨籍及未經政黨推薦,16,王廷升,中國國民黨,328,蕭美琴,民主進步黨,650,黄師鵬,無黨籍及未經政黨推薦,16
花蓮市,國治里,楊悟空,無黨籍及未經政黨推薦,12,王廷升,中國國民黨,472,蕭美琴,民主進步黨,560,黄師鵬,無黨籍及未經政黨推薦,6
花蓮市,國盛里,楊悟空,無黨籍及未經政黨推薦,50,王廷升,中國國民黨,1552,蕭美琴,民主進步黨,1924,黄師鵬,無黨籍及未經政黨推薦,48
花蓮市,國福里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,282,蕭美琴,民主進步黨,676,黄師鵬,無黨籍及未經政黨推薦,26
花蓮市,國聯里,楊悟空,無黨籍及未經政黨推薦,46,王廷升,中國國民黨,1230,蕭美琴,民主進步黨,1844,黄師鵬,無黨籍及未經政黨推薦,42
花蓮市,國興里,楊悟空,無黨籍及未經政黨推薦,50,王廷升,中國國民黨,1854,蕭美琴,民主進步黨,2182,黄師鵬,無黨籍及未經政黨推薦,52
花蓮市,國華里,楊悟空,無黨籍及未經政黨推薦,38,王廷升,中國國民黨,1166,蕭美琴,民主進步黨,1496,黄師鵬,無黨籍及未經政黨推薦,26
花蓮市,國裕里,楊悟空,無黨籍及未經政黨推薦,70,王廷升,中國國民黨,1958,蕭美琴,民主進步黨,2386,黄師鵬,無黨籍及未經政黨推薦,70
花蓮市,國防里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,332,蕭美琴,民主進步黨,478,黄師鵬,無黨籍及未經政黨推薦,16
花蓮市,國風里,楊悟空,無黨籍及未經政黨推薦,52,王廷升,中國國民黨,1574,蕭美琴,民主進步黨,2112,黄師鵬,無黨籍及未經政黨推薦,56
花蓮市,國魂里,楊悟空,無黨籍及未經政黨推薦,20,王廷升,中國國民黨,962,蕭美琴,民主進步黨,1296,黄師鵬,無黨籍及未經政黨推薦,34
花蓮市,民享里,楊悟空,無黨籍及未經政黨推薦,64,王廷升,中國國民黨,1388,蕭美琴,民主進步黨,1292,黄師鵬,無黨籍及未經政黨推薦,32
花蓮市,民勤里,楊悟空,無黨籍及未經政黨推薦,38,王廷升,中國國民黨,1716,蕭美琴,民主進步黨,1600,黄師鵬,無黨籍及未經政黨推薦,76
花蓮市,民孝里,楊悟空,無黨籍及未經政黨推薦,66,王廷升,中國國民黨,1772,蕭美琴,民主進步黨,1548,黄師鵬,無黨籍及未經政黨推薦,60
花蓮市,民德里,楊悟空,無黨籍及未經政黨推薦,18,王廷升,中國國民黨,866,蕭美琴,民主進步黨,920,黄師鵬,無黨籍及未經政黨推薦,24
花蓮市,民心里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,434,蕭美琴,民主進步黨,582,黄師鵬,無黨籍及未經政黨推薦,16
花蓮市,民意里,楊悟空,無黨籍及未經政黨推薦,42,王廷升,中國國民黨,1332,蕭美琴,民主進步黨,658,黄師鵬,無黨籍及未經政黨推薦,46
花蓮市,民政里,楊悟空,無黨籍及未經政黨推薦,46,王廷升,中國國民黨,1804,蕭美琴,民主進步黨,1890,黄師鵬,無黨籍及未經政黨推薦,78
花蓮市,民族里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,248,蕭美琴,民主進步黨,276,黄師鵬,無黨籍及未經政黨推薦,10
花蓮市,民有里,楊悟空,無黨籍及未經政黨推薦,14,王廷升,中國國民黨,276,蕭美琴,民主進步黨,436,黄師鵬,無黨籍及未經政黨推薦,2
花蓮市,民樂里,楊悟空,無黨籍及未經政黨推薦,10,王廷升,中國國民黨,242,蕭美琴,民主進步黨,312,黄師鵬,無黨籍及未經政黨推薦,10
花蓮市,民權里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,222,蕭美琴,民主進步黨,224,黄師鵬,無黨籍及未經政黨推薦,12
花蓮市,民治里、民主里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,286,蕭美琴,民主進步黨,312,黄師鵬,無黨籍及未經政黨推薦,8
花蓮市,民生里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,548,蕭美琴,民主進步黨,750,黄師鵬,無黨籍及未經政黨推薦,22
花蓮市,民立里,楊悟空,無黨籍及未經政黨推薦,24,王廷升,中國國民黨,764,蕭美琴,民主進步黨,764,黄師鵬,無黨籍及未經政黨推薦,20
花蓮市,民運里,楊悟空,無黨籍及未經政黨推薦,34,王廷升,中國國民黨,970,蕭美琴,民主進步黨,1112,黄師鵬,無黨籍及未經政黨推薦,38
萬榮鄉,明利村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,18,蕭美琴,民主進步黨,32,黄師鵬,無黨籍及未經政黨推薦,0
萬榮鄉,紅葉村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,34,蕭美琴,民主進步黨,34,黄師鵬,無黨籍及未經政黨推薦,2
萬榮鄉,萬榮村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,18,蕭美琴,民主進步黨,20,黄師鵬,無黨籍及未經政黨推薦,0
萬榮鄉,西林村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,16,蕭美琴,民主進步黨,14,黄師鵬,無黨籍及未經政黨推薦,0
萬榮鄉,見晴村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,6,蕭美琴,民主進步黨,18,黄師鵬,無黨籍及未經政黨推薦,2
萬榮鄉,馬遠村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,12,蕭美琴,民主進步黨,10,黄師鵬,無黨籍及未經政黨推薦,0
豐濱鄉,新社村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,26,蕭美琴,民主進步黨,40,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,港口村,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,40,蕭美琴,民主進步黨,86,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,磯崎村,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,22,蕭美琴,民主進步黨,28,黄師鵬,無黨籍及未經政黨推薦,2
豐濱鄉,豐濱村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,222,蕭美琴,民主進步黨,198,黄師鵬,無黨籍及未經政黨推薦,8
豐濱鄉,靜浦村,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,22,蕭美琴,民主進步黨,26,黄師鵬,無黨籍及未經政黨推薦,0
鳳林鎮,北林里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,174,蕭美琴,民主進步黨,432,黄師鵬,無黨籍及未經政黨推薦,12
鳳林鎮,南平里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,282,蕭美琴,民主進步黨,302,黄師鵬,無黨籍及未經政黨推薦,6
鳳林鎮,大榮里,楊悟空,無黨籍及未經政黨推薦,2,王廷升,中國國民黨,516,蕭美琴,民主進步黨,676,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,山興里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,74,蕭美琴,民主進步黨,94,黄師鵬,無黨籍及未經政黨推薦,4
鳳林鎮,林榮里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,418,蕭美琴,民主進步黨,464,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,森榮里,楊悟空,無黨籍及未經政黨推薦,0,王廷升,中國國民黨,34,蕭美琴,民主進步黨,30,黄師鵬,無黨籍及未經政黨推薦,4
鳳林鎮,長橋里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,420,蕭美琴,民主進步黨,494,黄師鵬,無黨籍及未經政黨推薦,20
鳳林鎮,鳳仁里,楊悟空,無黨籍及未經政黨推薦,4,王廷升,中國國民黨,594,蕭美琴,民主進步黨,728,黄師鵬,無黨籍及未經政黨推薦,14
鳳林鎮,鳳信里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,444,蕭美琴,民主進步黨,388,黄師鵬,無黨籍及未經政黨推薦,12
鳳林鎮,鳳智里,楊悟空,無黨籍及未經政黨推薦,8,王廷升,中國國民黨,712,蕭美琴,民主進步黨,540,黄師鵬,無黨籍及未經政黨推薦,16
鳳林鎮,鳳禮里,楊悟空,無黨籍及未經政黨推薦,12,王廷升,中國國民黨,388,蕭美琴,民主進步黨,362,黄師鵬,無黨籍及未經政黨推薦,2
鳳林鎮,鳳義里,楊悟空,無黨籍及未經政黨推薦,6,王廷升,中國國民黨,356,蕭美琴,民主進步黨,314,黄師鵬,無黨籍及未經政黨推薦,12
